datum,pflicht,marker,reader_activity,routing,overnight,layover,old_klass,old_eur,new_role,new_location,new_in_tour,new_tour_dest,new_is_standby_hotel,new_is_layover_free,golden_klass,golden_land,golden_eur,shadow_recommendation,risk
2025-05-20,,103703 P1,tour,FRA→LAD,True,LAD,Z73,14.0,tour_start,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-05-21,,103703 P1,tour,LAD,True,LAD,Z76,40.0,tour_mid,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-05-22,,103703 P1,tour,LAD→FRA,True,LAD,Z76,27.0,tour_mid,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-05-23,,103703 P1,same_day,LAD,False,,Issue,0,tour_mid,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-24,,ORTSTAG OF,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-25,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-26,,113301 PU,tour,FRA→TLV,True,TLV,Z76,28.0,tour_start,foreign_layover,True,TLV,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,44,keep (correct),none
2025-05-27,✓,X TLV,frei,,True,TLV,Frei,0,tour_mid,foreign_layover,True,TLV,False,True,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,65,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-05-28,,113301 PU,same_day,TLV→FRA,False,,Z76,28.0,tour_end,in_flight,True,TLV,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,44,keep (correct),none
2025-05-29,,OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-30,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-31,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-01,,126533 PU,tour,FRA→CPH→GOT,True,GOT,Z76,44.0,tour_start,foreign_layover,True,CPH,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-06-02,,126533 PU,tour,GOT→FRA→SOF,True,SOF,Z76,15.0,tour_mid,foreign_layover,True,CPH,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-06-03,,126533 PU,same_day,SOF→FRA→LHR,False,,Issue,0,tour_mid,foreign_layover,True,CPH,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-04,,EM,training,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NO_VMA,-,0,Phase 3 classify (alt=Office → golden=NO_VMA),med
2025-06-05,,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-06,,FRS,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-07,,120237 P1/ZH,tour,FRA→SIN,True,SIN,Z73,14.0,tour_start,foreign_layover,True,SIN,False,False,Z73,Deutschland,14,keep (correct),none
2025-06-08,,X,tour,FRA→SIN,True,SIN,Z76,48.0,tour_mid,foreign_layover,True,SIN,False,True,Z76,Singapur,71,keep (correct),none
2025-06-09,✓,X,frei,SIN,True,SIN,Frei,0,tour_mid,foreign_layover,True,SIN,False,True,Z76,Singapur,71,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-06-10,,781,tour,SIN→FRA,True,FRA,Z76,48.0,tour_mid,foreign_layover,True,SIN,False,False,Z76,Singapur,71,keep (correct),none
2025-06-11,,X,same_day,SIN→FRA,False,,Z76,48.0,tour_end,in_flight,True,SIN,False,False,Z76,Singapur,48,keep (correct),none
2025-06-12,,X,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-13,,ORTSTAG OF,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-14,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-15,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-16,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-17,✓,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Kroatien,31,Phase 3 classify (alt=Frei → golden=Z76),med
2025-06-18,✓,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Kroatien,31,Phase 3 classify (alt=Frei → golden=Z76),med
2025-06-19,,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-20,,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-21,,128322 PU,tour,FRA→CPH→ATH,True,ATH,Z76,28.0,tour_start,foreign_layover,True,CPH,False,False,Z76,Schweden,44,keep (correct),none
2025-06-22,,128322 PU,tour,ATH→FRA→HAJ→WAW,True,WAW,Z76,28.0,tour_mid,foreign_layover,True,CPH,False,False,Z76,Schweden,66,keep (correct),none
2025-06-23,✓,128322 PU,tour,WAW→FRA→SZG→LIN,True,LIN,Z76,42.0,tour_mid,foreign_layover,True,CPH,False,False,Z76,Spanien - Madrid,42,keep (correct),none
2025-06-24,✓,128322 PU,tour,LIN→FRA→HAM→BER,True,BER,Z76,28.0,tour_mid,foreign_layover,True,CPH,False,False,Z76,Spanien - Madrid,42,keep (correct),none
2025-06-25,,128322 PU,same_day,BER→FRA→MUC,False,,Z76,35.0,tour_mid,in_flight,True,CPH,False,False,Z76,Vereinigtes Königreich,35,keep (correct),none
2025-06-26,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-27,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
