datum,cas_marker,activity_type,routing,layover_ort,overnight,starts_at_homebase,ends_at_homebase,duty_min,has_fl,aerotax_klass,aerotax_eur,aerotax_reason,aerotax_bmf_land,aerotax_counted_as_workday,golden_klass,golden_land,golden_eur,golden_dauer_h,golden_pos_in_tour,golden_is_anreise,golden_is_abreise,klass_match,eur_diff
2025-12-22,== OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-12-23,== OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-12-24,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-12-25,70183 PU,tour,FRA→BRE→MUC→BIO,BIO,True,True,False,954,False,Z76,28.0,Auslands-Layover ROM (Z76 An/Ab),,True,Z76,Italien - Rom,32,15.75,1/2,True,False,True,-4.0
2025-12-26,70183 PU Tag 2,same_day,BIO→FRA→EDI,,False,True,True,535,False,Z76,28.0,"Same-Day Auslandstrip ROM (Z76 >8h, prev_overnight=true Sonnet-Lesefehler)",,True,Z76,Norwegen,50,16.916666666666668,2/2,False,True,True,-22.0
2025-12-27,70531 PU,tour,FRA→TLV,TLV,True,True,False,449,False,Z76,44.0,Auslands-Layover TLV (Z76 An/Ab),Israel,True,Z76,Israel,44,8.166666666666666,1/3,True,False,True,0.0
2025-12-28,X TLV,frei,,,False,False,False,0,False,Frei,0,frei,,False,Z76,Israel,66,24.0,2/3,False,False,False,-66
2025-12-29,70531 PU Tag 3,same_day,TLV→FRA,,False,True,True,280,False,Z76,44.0,Same-Day Auslandstrip TLV (Z76 >8h),Israel,True,Z76,Israel,44,10.366666666666667,3/3,False,True,True,0.0
2025-12-30,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-12-31,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
